groups,genotype,dss,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
c3h_noDSS,c3h,no,no,34340034,14843,94103503393,2028900793,990479792,351452277,2657047179,498592048,1
c3h_noDSS,c3h,no,no,1167317,9236,25158070986,29288721,159472066,21302172,843454106,56475869,2
c3h_noDSS,c3h,no,no,1322936,4988,53734538086,144170330,223976918,91105797,1014666102,37735944,3
c3h_noDSS,c3h,no,no,551247,45361,17269424832,122397907,311972802,124776649,969579302,139202148,4
c3h_noDSS,c3h,no,no,121239328,160774,11536836736,156758107,312588942,349571705,5062442336,256604110,5
c3h_noDSS,c3h,no,no,73660369,53810,38302877238,200628925,702996586,272676896,1807105692,118981728,6
c3h_noDSS,c3h,no,no,944769,12869,37242695481,4254162,1665191,3044313,48044927,10067167,7
c3h_noDSS,c3h,no,no,1328825,41480,1.08E+11,104261696,125866012,105750251,552564211,156347735,8
c3h_noDSS,c3h,no,no,4162476,34150,1.52E+11,282717771,681201147,306544385,1035970492,105347965,9
c3h_noDSS,c3h,no,no,52203,7424,34462540250,2461054,5692404,23904068,79200365,12869752,10
c3h_noDSS,c3h,no,no,173506,1528,21640403733,3708866,13054775,11118356,70683989,7522879,11
c3h_DSS,c3h,yes,no,1684876,34543,3761725593,28077459,48655,63593401,2227179812,20180065,1
c3h_DSS,c3h,yes,no,189796,8280,6366163414,596148,16587,3373572,643841940,3437561,2
c3h_DSS,c3h,yes,no,365233,9842,25910749173,5283181,34344,4128884,537325842,17624835,3
c3h_DSS,c3h,yes,no,12642831,40369,25903460800,20399100,59637,26961596,2140385595,30476340,4
c3h_DSS,c3h,yes,no,220509,12092,78990359636,14583568,197990,7980407,1857044592,51266936,5
c3h_DSS,c3h,yes,no,24450632,26286,61752893152,96085709,739601,58537192,3072772324,76413308,6
c3h_DSS,c3h,yes,no,4028575,4584,97978561,2980,23542,22873262,189806688,14014,7
c3h_DSS,c3h,yes,no,1601399,4352,393686,34676,22354,257394,77962061,14450,8
c3h_DSS,c3h,yes,no,261226,5453,29452789981,2430179,28007,79201881,554578074,9682809,9
c3h_DSS,c3h,yes,no,199998,3058,16280765700,119771,15709,24136820,190946039,1080940,10
c3h_DSS,c3h,yes,no,2348518,12677,20882196488,471726,38807,16511161,123172904,426609,11
c3h_DSS,c3h,yes,no,192871,2977,26381302322,270764,15288,48157366,162976242,407682,12
c3h_hb,c3h,no,yes,3417869,19928,24269294589,32589950,44437008,20544008,436245285,32849123,1
c3h_hb,c3h,no,yes,2291305,51324,16146956498,11962591,44124954,15045222,376650646,28180861,2
c3h_hb,c3h,no,yes,703590,13715,9363886968,1801589,1985700,6261972,80112560,2672142,3
c3h_hb,c3h,no,yes,4161623,14254,34587608201,2546108,42276737,3222759,193469697,5272613,4
c3h_hb,c3h,no,yes,3026030,65147,68137818644,138922437,265755324,60691214,932474405,27889950,5
c3h_hb,c3h,no,yes,287893,5128,12798985451,16631574,3116273,8386488,99585726,6638841,6
c3h_hb,c3h,no,yes,924625,11109,2968838256,1409000,10526106,10013786,22697140,1479938,7
c3h_hb,c3h,no,yes,866435,21768,10774637955,22110700,16905160,13607967,86137114,11232983,8
c3h_hb,c3h,no,yes,195032,35209,21192581904,4005795,13626245,6290913,70894251,13772469,9
c3h_hb,c3h,no,yes,383123,12296,13773801796,37634837,126636452,27234320,145596528,14018602,10
c3h_hbdss,c3h,yes,yes,611019,5648,45872654043,7563579,29011,2473164,537073096,8593680.24,1
c3h_hbdss,c3h,yes,yes,3281740,85995,1.14E+11,3427781,27465,9481914,620116107,11469682.24,2
c3h_hbdss,c3h,yes,yes,479155,8613,1.15E+11,87556178,44239,5194505,89146537,1216744.42,3
c3h_hbdss,c3h,yes,yes,33838,4812,79715790054,3805336,24717,3687013,755488058,13774118.74,4
c3h_hbdss,c3h,yes,yes,6703316,3609,40737124113,28903574,18537,6845945,104962667,30899285.06,5
c3h_hbdss,c3h,yes,yes,1149320,9109,74549324730,290910831,28235,146757,82109358,122705704.2,6
c3h_hbdss,c3h,yes,yes,32856976,6913,94299625299,354262674,35507,40283605,411746671,160253954.6,7
c3h_hbdss,c3h,yes,yes,412023432,3966157,1.1E+11,723817453,102026,174030659,1851004239,322156725.1,8
c3h_hbdss,c3h,yes,yes,16007439,20694,279579193,1054413,53367,8573074,45437371,4155627.94,9
c3h_hbdss,c3h,yes,yes,1089451,12280,50000501176,14598412,63072,43160681,518878741,19603377.94,10
c3h_hbdss,c3h,yes,yes,1708504,10431,37035941879,4126968,53573,20741280,235682936,3686468.92,11
b6_nodss,b6,no,no,243248558,41975,2.62E+11,656334791,4009918303,1514597742,6393118503,2812125924,1
b6_nodss,b6,no,no,197094800,42754,3.6E+11,399565758,3091768787,1882108169,6600061150,1699391394,2
b6_nodss,b6,no,no,1032231480,60127,3.44E+11,685953032,4164838584,2147755846,9157806443,1918305471,3
b6_nodss,b6,no,no,437915624,46809,2.99E+11,928633408,3279773112,2138426690,8992873922,2062490239,4
b6_nodss,b6,no,no,1537283533,44939,2.27E+11,1412281434,2743524362,1578433248,5707251102,1761880236,5
b6_nodss,b6,no,no,1454525610,36505,2.31E+11,493880529,4754758829,972584815,9687986205,2462528460,6
b6_nodss,b6,no,no,693163296,26503,2.1E+11,60729660,1242490171,737733767,3673637702,1039070804,7
b6_nodss,b6,no,no,2916911487,70792,5.78E+11,7505072371,7162401220,2420303248,15300540595,8188385567,8
b6_nodss,b6,no,no,398899700,57146,6.41E+11,454720686,3409534211,1548389114,13390286826,5567004686,9
b6_nodss,b6,no,no,7744620838,39663,4.96E+11,5149552973,5377868964,3138574024,12247105807,5735305533,10
b6_nodss,b6,no,no,1976211278,34394,7.12E+11,751467317,3936971274,1550223123,10800430044,3479565911,11
b6_nodss,b6,no,no,2110897127,44117,3.5E+11,1497715391,3227170990,2314118917,14424631629,4764214513,12
b6_nodss,b6,no,no,2038078223,47831,3.17E+11,1231352064,4756674295,1714295906,12736431237,5745536655,13
b6_nodss,b6,no,no,1870774598,158438,2.29E+11,3756577116,14036718043,2932065978,21701520643,7663728162,14
b6_nodss,b6,no,no,751565644,39707,5.08E+11,1365441169,2619394640,2006968319,10680454723,5179495113,15
b6_dss,b6,yes,no,479385408,41769,65985647573,225927956,3974271,1724695754,4699367933,1149649430,1
b6_dss,b6,yes,no,380209607,52832,44355341438,332408217,993083,2341483906,5040387671,1254485352,2
b6_dss,b6,yes,no,131421912,34549,3.92E+11,25844709,177449,1402730392,7367433807,663014048,3
b6_dss,b6,yes,no,438078331,49924,2.1E+11,20333181,256418,1741733154,7890622039,2118200463,4
b6_dss,b6,yes,no,662477432,38471,2.19E+11,42336669,197594,6975214329,5999174862,2389826511,5
b6_dss,b6,yes,no,573468862,41864,2.04E+11,44899676,215019,1505512163,4007449032,1537613706,6
b6_dss,b6,yes,no,2161880046,65555,2.33E+11,342254967,336698,3629122442,10679682946,2790948196,7
