groups,dss,asf,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
asfbirthhbadult,no,birth,adult,3417869,19928,24269294589,32589950,44437008,20544008,436245285,32849123,1
asfbirthhbadult,no,birth,adult,2291305,51324,16146956498,11962591,44124954,15045222,376650646,28180861,2
asfbirthhbadult,no,birth,adult,703590,13715,9363886968,1801589,1985700,6261972,80112560,2672142,3
asfbirthhbadult,no,birth,adult,4161623,14254,34587608201,2546108,42276737,3222759,193469697,5272613,4
asfbirthhbadult,no,birth,adult,3026030,65147,68137818644,138922437,265755324,60691214,932474405,27889950,5
asfbirthhbadult,no,birth,adult,287893,5128,12798985451,16631574,3116273,8386488,99585726,6638841,6
asfbirthhbadult,no,birth,adult,924625,11109,2968838256,1409000,10526106,10013786,22697140,1479938,7
asfbirthhbadult,no,birth,adult,866435,21768,10774637955,22110700,16905160,13607967,86137114,11232983,8
asfbirthhbadult,no,birth,adult,195032,35209,21192581904,4005795,13626245,6290913,70894251,13772469,9
asfbirthhbadult,no,birth,adult,383123,12296,13773801796,37634837,126636452,27234320,145596528,14018602,10
asfbirthhbadultdss,yes,birth,adult,611019,5648,45872654043,7563579,29011,2473164,537073096,8593680.242,1
asfbirthhbadultdss,yes,birth,adult,3281740,85995,1.14E+11,3427781,27465,9481914,620116107,11469682.24,2
asfbirthhbadultdss,yes,birth,adult,479155,8613,1.15E+11,87556178,44239,5194505,89146537,1216744.424,3
asfbirthhbadultdss,yes,birth,adult,33838,4812,79715790054,3805336,24717,3687013,755488058,13774118.74,4
asfbirthhbadultdss,yes,birth,adult,6703316,3609,40737124113,28903574,18537,6845945,104962667,30899285.06,5
asfbirthhbadultdss,yes,birth,adult,1149320,9109,74549324730,290910831,28235,146757,82109358,122705704.2,6
asfbirthhbadultdss,yes,birth,adult,32856976,6913,94299625299,354262674,35507,40283605,411746671,160253954.6,7
asfbirthhbadultdss,yes,birth,adult,412023432,3966157,1.10E+11,723817453,102026,174030659,1851004239,322156725.1,8
asfbirthhbadultdss,yes,birth,adult,16007439,20694,279579193,1054413,53367,8573074,45437371,4155627.942,9
asfbirthhbadultdss,yes,birth,adult,1089451,12280,50000501176,14598412,63072,43160681,518878741,19603377.94,10
asfbirthhbadultdss,yes,birth,adult,1708504,10431,37035941879,4126968,53573,20741280,235682936,3686468.918,11
asfandhbadult,no,adult,adult,570515004,733706,1.25E+11,NA,NA,NA,8981398462,3522268610,1
asfandhbadult,no,adult,adult,687087214,1102719,1.28E+11,NA,NA,NA,NA,6263801026,2
asfandhbadult,no,adult,adult,19372709,20098,35673356130,1250743,NA,NA,NA,1944443587,3
asfandhbadult,no,adult,adult,17060800,232562,92359797837,NA,NA,NA,NA,4469087912,4
asfandhbadult,no,adult,adult,1280881187,206743,72751032750,1774954340,8954850816,2292852172,13588037116,3407774683,5
asfandhbadult,no,adult,adult,2489824186,632610,45911920830,1601094069,13436155559,1331254104,11354228292,4537579765,6
asfandhbadult,no,adult,adult,3903836913,1011936,47916194054,872999035,6588941489,867661142,7918379953,2087760801,7
asfandhbadult,no,adult,adult,2658253124,55893,42883163599,926085237,4962018107,1614732413,8855431116,2095347794,8
asfandhbadult,no,adult,adult,1118902495,28513,58547323031,1032311485,5598651317,1021946703,8427496940,2934600273,9
asfandhbadult,no,adult,adult,8095999179,23224,66275831967,1855088933,5159036162,1758944990,8984750837,2907069258,10
asfandhbadultdss,yes,adult,adult,17131385,1227698,1.35E+11,14759296,788671,NA,17716198,55315946,1
asfandhbadultdss,yes,adult,adult,72128169,331192,1.36E+11,17381425,436430,NA,3224522,155021790,2
asfandhbadultdss,yes,adult,adult,104804263,191150,21385473988,5843509,92039037,NA,1029968,2479103842,3
asfandhbadultdss,yes,adult,adult,4844118840,43092,3.20E+11,796484968,438245,406584463,6607574124,13871502640,4
asfandhbadultdss,yes,adult,adult,593923927,24809,4.48E+11,275843453,430325,258116181,2007070414,1743978520,5
asfandhbadultdss,yes,adult,adult,141922535,5105,46857416039,54263378,286449,31502453,238633194,549424487,6
asfandhbadultdss,yes,adult,adult,894534969,21714,62882236312,25218024,312024,2528077,419439599,398683924,7
asfandhbadultdss,yes,adult,adult,36792688,234835,2.42E+11,84084071,64778,1697548,1492447741,531454267,8
asfandhbadultdss,yes,adult,adult,371470949,40550,3.43E+11,125676798,103922,35878061,1324160486,1497518471,9
asfandhbadultdss,yes,adult,adult,5120200526,50680,1.02E+11,1203895108,1128426,560256328,11520909221,3191783089,10
asfandhbadultdss,yes,adult,adult,12546488112,699957,3.16E+11,727247832,4640216,349591899,8657695727,11755068328,11
asfandhbadultdss,yes,adult,adult,4503443919,107414,1.37E+11,316844397,127456,886421378,8885528258,3739361230,12
hbbirthasfadult,no,adult,birth,415256671,2035699,1.95E+11,8493032708,7282067355,1939819364,13339759571,3439699187,1
hbbirthasfadult,no,adult,birth,1719236806,1284202,1.86E+11,10765081530,11396983939,2332155591,15987912985,3955411389,2
hbbirthasfadult,no,adult,birth,580606228,496793,1.71E+11,12152849072,10483575565,1015060989,15766796519,3346194599,3
