id,groups,genotype,dss,duration,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519
1,hbilisc3hdss,C3H/HeN,yes,3wk,3941265.585,611018.8855,5648.4425,45872654043,7563579.162,29011.2104,2473163.76,537073096.1,8593680.242
2,hbilisc3hdss,C3H/HeN,yes,3wk,994916.56,3281740.444,85994.8697,1.14E+11,3427781.331,27464.6057,9481913.509,620116106.7,11469682.24
3,hbilisc3hdss,C3H/HeN,yes,3wk,11551597.28,479155.137,8613.2779,1.15E+11,87556177.86,44239.0298,5194504.672,89146537.24,1216744.424
4,hbilisc3hdss,C3H/HeN,yes,3wk,NA,33838.1676,4812.2739,79715790054,3805336.132,24716.5286,3687012.669,755488058.1,13774118.74
5,hbilisc3hdss,C3H/HeN,yes,3wk,29135060.09,6703316.435,3609.1059,40737124113,28903574.23,18536.8852,6845944.711,104962666.6,30899285.06
6,hbilisc3hdss,C3H/HeN,yes,3wk,115185226.7,1149319.927,9109.2028,74549324730,290910831,28234.7295,146757.2148,82109358.32,122705704.2
7,hbilisc3hdss,C3H/HeN,yes,3wk,149272363.8,32856976.24,6913.2519,94299625299,354262674.3,35507.4529,40283604.56,411746670.6,160253954.6
8,hbilisc3hdss,C3H/HeN,yes,3wk,169013028.2,412023432.2,3966157.484,1.10E+11,723817452.6,102025.6172,174030658.6,1851004239,322156725.1
9,hbilisc3hdss,C3H/HeN,yes,3wk,5132231.713,16007439.24,20694.3365,279579193,1054412.926,53367.1381,8573074.196,45437371,4155627.942
10,hbilisc3hdss,C3H/HeN,yes,3wk,2167784.05,1089451.182,12279.9721,50000501176,14598411.73,63071.6972,43160680.82,518878740.6,19603377.94
11,hbilisc3hdss,C3H/HeN,yes,3wk,1218248.657,1708504.319,10430.6165,37035941879,4126968.139,53573.1418,20741279.61,235682936.3,3686468.918
1,hbilisB6dss,C57BL/6,yes,3wk,1480000000,129530537.5,467655.8561,1.63E+11,1277377823,1040887.991,563479648.3,194322887.2,1364923401
2,hbilisB6dss,C57BL/6,yes,3wk,499000000,282024755,296169.422,4.12E+11,667819449.4,1521168.609,758303921.8,122807240.6,292309682.7
3,hbilisB6dss,C57BL/6,yes,3wk,590000000,624783226.6,131858.7653,1.43E+11,1284932361,677245.5215,621357910.3,183634679.5,365929707.7
4,hbilisB6dss,C57BL/6,yes,3wk,54400000,578496445.7,44751.0557,1.53E+11,69480940.7,229847.8373,589474038.6,217946376.8,867688866.5
5,hbilisB6dss,C57BL/6,yes,3wk,NA,NA,NA,NA,NA,NA,NA,NA,NA
