id,groups,genotype,dss,duration,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_500,ASF_502,ASF_519
1,hbilisc3h,C3H/HeN,no,3wk,2375237706,1980209632,7125611.447,379528376.3,4544380095,43495419.07,73504433.66,244398805.2
2,hbilisc3h,C3H/HeN,no,3wk,2920951672,3023108333,24834756.78,2308162930,5709770312,98816217.07,115772738,388584312.7
3,hbilisc3h,C3H/HeN,no,3wk,914844255.5,2304954117,15817687.13,745053209,4547023598,36645821.72,48491881.53,187608216.3
4,hbilisc3h,C3H/HeN,no,3wk,771945080.9,1075874381,2527931.59,140537898.8,1321585880,11776031.84,19175980.91,92108511.84
5,hbilisc3h,C3H/HeN,no,3wk,1538832228,5618295128,2812108.227,1483774885,355197909.9,67268645.34,180950567,618559622.6
6,hbilisc3h,C3H/HeN,no,3wk,1666516784,5167920244,2826094.368,1847403103,102729294.5,10619444.37,28182873.72,117288504.8
7,hbilisc3h,C3H/HeN,no,3wk,2188270269,1036233034,2354674.261,2235208426,2076431689,17428888.42,30131551.93,107913461.4
8,hbilisc3h,C3H/HeN,no,3wk,1687573133,865766609.8,4542831.624,412483838.6,2228549913,8483969.212,9046059.659,50578443.82
1,hbilisc3hdss,C3H/HeN,yes,3wk,181280612.4,356811358.8,8345609.251,585097156.3,114452295.7,174415.8602,1213471.366,29385935.6
2,hbilisc3hdss,C3H/HeN,yes,3wk,272560855.5,4460129112,5153004.242,843331761,744490193.3,39766616.22,95984890.05,401982706.1
3,hbilisc3hdss,C3H/HeN,yes,3wk,332825842.8,1676719316,17421291.47,1479334037,491779154.7,25475909.07,141033646.6,204974113.7
4,hbilisc3hdss,C3H/HeN,yes,3wk,302353744,1629892321,6898866.538,478017869.2,1309718853,20593437.71,57518257.8,193831726.7
5,hbilisc3hdss,C3H/HeN,yes,3wk,407718804.2,961399789.7,19238716.64,3328139386,507940589.4,1359094.14,59260333.25,1082407361
6,hbilisc3hdss,C3H/HeN,yes,3wk,947476913,288542196.1,37535529.89,3550872612,428400125.3,147887.2253,65127105.68,539789218
7,hbilisc3hdss,C3H/HeN,yes,3wk,644725794.7,1148805944,53989592.56,3067600442,2037414549,1608501.174,10517302.41,632390737.1
8,hbilisc3hdss,C3H/HeN,yes,3wk,339938238.2,1221766262,2486424.104,1229976006,215765634.6,1241207.759,7686006.482,216303217.2
9,hbilisc3hdss,C3H/HeN,yes,3wk,828249117.2,1311790604,30384199.68,2418906891,529912305.3,1700794.374,36607687.04,433193126.3
