TREATMENTS,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
ASF(birth),34340034.49,14842.9807,94103503392.70,2028900793,990479792.2,351452277.2,2657047179,498592047.7,1
ASF(birth),1167317.487,9236.24624,25158070986.03,29288720.91,159472066.4,21302171.65,843454105.6,56475869.45,2
ASF(birth),1322935.797,4987.761661,53734538085.88,144170330.2,223976917.5,91105797.37,1014666102,37735943.74,3
ASF(birth),551246.7401,45361.17493,17269424831.86,122397907.1,311972802,124776649.3,969579302.5,139202148,4
ASF(birth),121239327.9,160774.1083,11536836736.08,156758106.6,312588942,349571704.5,5062442336,256604110.5,5
ASF(birth),73660369.08,53810.48278,38302877238.43,200628925,702996585.6,272676895.6,1807105692,118981727.6,6
ASF(birth),944768.6654,12868.98526,37242695481,4254161.883,1665190.719,3044313.079,48044927.39,10067166.95,7
ASF(birth),1328824.697,41480.03931,1.08444E+11,104261696.2,125866012.2,105750250.8,552564211.3,156347734.7,8
ASF(birth),4162475.949,34150.42709,1.52288E+11,282717771.5,681201147.5,306544385.1,1035970492,105347965,9
ASF(birth),52202.77738,7423.985429,34462540250,2461053.994,5692403.655,23904067.75,79200364.5,12869751.64,10
ASF(birth),173505.7994,1527.532313,21640403733,3708865.908,13054775.36,11118355.68,70683988.66,7522879.093,11
ASF(birth)-DSS,1684875.705,34543.35508,3761725593,28077458.93,48655.04051,63593401.14,2227179812,20180065.13,1
ASF(birth)-DSS,189795.6427,8279.666379,6366163414,596148.196,16587.01764,3373572.064,643841939.8,3437560.754,2
ASF(birth)-DSS,365232.7017,9842.292746,25910749173,5283180.598,34343.79058,4128883.944,537325842.1,17624834.7,3
ASF(birth)-DSS,12642830.78,40369.21272,25903460800,20399100.32,59636.78039,26961596.32,2140385595,30476339.87,4
ASF(birth)-DSS,220508.9925,12091.86522,78990359636,14583568.23,197989.5201,7980407.049,1857044592,51266935.74,5
ASF(birth)-DSS,24450631.73,26285.98911,61752893152,96085708.88,739600.7663,58537191.62,3072772324,76413307.97,6
ASF(birth)-DSS,4028575.359,4583.659827,97978561.02,2980.136976,23542.33397,22873262.28,189806687.7,14014.10872,7
ASF(birth)-DSS,1601399.184,4352.240194,393685.8011,34676.04209,22353.72956,257394.3905,77962060.86,14449.92128,8
ASF(birth)-DSS,261226.1343,5452.890685,29452789981,2430179.451,28006.82827,79201881.07,554578074.4,9682809.2,9
ASF(birth)-DSS,199998.1854,3058.447909,16280765700,119771.0073,15708.62691,24136819.94,190946039.5,1080940.241,10
ASF(birth)-DSS,2348518.193,12677.04283,20882196488,471725.7634,38806.59771,16511160.72,123172903.9,426608.6422,11
ASF(birth)-DSS,192870.5924,2976.566639,26381302322,270763.5834,15288.07297,48157365.73,162976242.2,407682.1497,12
ASF(birth)-Hb(adult),3417869,19928,24269294589,32589950,44437008,20544008,436245285,32849123,1
ASF(birth)-Hb(adult),2291305,51324,16146956498,11962591,44124954,15045222,376650646,28180861,2
ASF(birth)-Hb(adult),703590,13715,9363886968,1801589,1985700,6261972,80112560,2672142,3
ASF(birth)-Hb(adult),4161623,14254,34587608201,2546108,42276737,3222759,193469697,5272613,4
ASF(birth)-Hb(adult),3026030,65147,68137818644,138922437,265755324,60691214,932474405,27889950,5
ASF(birth)-Hb(adult),287893,5128,12798985451,16631574,3116273,8386488,99585726,6638841,6
ASF(birth)-Hb(adult),924625,11109,2968838256,1409000,10526106,10013786,22697140,1479938,7
ASF(birth)-Hb(adult),866435,21768,10774637955,22110700,16905160,13607967,86137114,11232983,8
ASF(birth)-Hb(adult),195032,35209,21192581904,4005795,13626245,6290913,70894251,13772469,9
ASF(birth)-Hb(adult),383123,12296,13773801796,37634837,126636452,27234320,145596528,14018602,10
ASF(birth)-Hb(adult)-DSS,611019,5648,45872654043,7563579,29011,2473164,537073096,8593680.242,1
ASF(birth)-Hb(adult)-DSS,3281740,85995,1.14E+11,3427781,27465,9481914,620116107,11469682.24,2
ASF(birth)-Hb(adult)-DSS,479155,8613,1.15E+11,87556178,44239,5194505,89146537,1216744.424,3
ASF(birth)-Hb(adult)-DSS,33838,4812,79715790054,3805336,24717,3687013,755488058,13774118.74,4
ASF(birth)-Hb(adult)-DSS,6703316,3609,40737124113,28903574,18537,6845945,104962667,30899285.06,5
ASF(birth)-Hb(adult)-DSS,1149320,9109,74549324730,290910831,28235,146757,82109358,122705704.2,6
ASF(birth)-Hb(adult)-DSS,32856976,6913,94299625299,354262674,35507,40283605,411746671,160253954.6,7
ASF(birth)-Hb(adult)-DSS,412023432,3966157,1.10E+11,723817453,102026,174030659,1851004239,322156725.1,8
ASF(birth)-Hb(adult)-DSS,16007439,20694,279579193,1054413,53367,8573074,45437371,4155627.942,9
ASF(birth)-Hb(adult)-DSS,1089451,12280,50000501176,14598412,63072,43160681,518878741,19603377.94,10
ASF(birth)-Hb(adult)-DSS,1708504,10431,37035941879,4126968,53573,20741280,235682936,3686468.918,11
